13:15:38.552 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:15:38.555 [TestNG-tests-1] INFO  utils.Log - +++ Started test case: loginTest
13:15:38.555 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:15:38.555 [TestNG-tests-1] INFO  utils.Log - Start time: 2022.11.17.13.15.38
13:15:38.555 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:15:39.796 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:15:39.829 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:15:39.868 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:15:39.933 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:15:39.956 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:15:39.991 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:15:40.055 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:15:40.063 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:15:41.535 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:15:41.545 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:15:41.620 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:15:41.641 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:15:41.674 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:15:45.997 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:15:45.997 [TestNG-tests-1] INFO  utils.Log - +++ Pass test case: loginTest
13:15:45.997 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:15:45.997 [TestNG-tests-1] INFO  utils.Log - End time: 2022.11.17.13.15.45
13:15:45.997 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
