13:47:21.893 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:47:21.904 [TestNG-tests-1] INFO  utils.Log - +++ Started test case: loginTest
13:47:21.905 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:47:21.905 [TestNG-tests-1] INFO  utils.Log - Start time: 2022.11.23.13.47.21
13:47:21.905 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:47:23.132 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:47:23.165 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:47:23.200 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:47:23.261 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:47:23.288 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:47:23.330 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:47:23.388 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:47:23.397 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:47:24.798 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:47:24.808 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:47:24.881 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:47:24.908 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:47:24.940 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:47:38.897 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:47:38.897 [TestNG-tests-1] INFO  utils.Log - +++ Pass test case: loginTest
13:47:38.898 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:47:38.898 [TestNG-tests-1] INFO  utils.Log - End time: 2022.11.23.13.47.38
13:47:38.898 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
