16:20:18.901 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
16:20:18.904 [TestNG-tests-1] INFO  utils.Log - +++ Started test case: loginTest
16:20:18.904 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
16:20:18.904 [TestNG-tests-1] INFO  utils.Log - Start time: 2022.11.17.16.20.18
16:20:18.904 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
16:20:20.127 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
16:20:20.161 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
16:20:20.198 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
16:20:20.264 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
16:20:20.291 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
16:20:20.332 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
16:20:20.398 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
16:20:20.409 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
16:20:21.795 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
16:20:21.807 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
16:20:21.889 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
16:20:21.913 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
16:20:21.956 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
16:20:27.468 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
16:20:27.468 [TestNG-tests-1] INFO  utils.Log - +++ Pass test case: loginTest
16:20:27.468 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
16:20:27.469 [TestNG-tests-1] INFO  utils.Log - End time: 2022.11.17.16.20.27
16:20:27.469 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
