13:44:01.262 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:44:01.265 [TestNG-tests-1] INFO  utils.Log - +++ Started test case: loginTest
13:44:01.265 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:44:01.265 [TestNG-tests-1] INFO  utils.Log - Start time: 2022.11.23.13.44.01
13:44:01.265 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:44:02.626 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:44:02.658 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:44:02.694 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
13:44:02.767 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:44:02.787 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:44:02.817 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
13:44:02.876 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:44:02.887 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
13:44:04.360 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:44:04.371 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:44:04.437 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:44:04.456 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:44:04.484 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
13:44:17.683 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:44:17.683 [TestNG-tests-1] INFO  utils.Log - +++ Pass test case: loginTest
13:44:17.683 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
13:44:17.683 [TestNG-tests-1] INFO  utils.Log - End time: 2022.11.23.13.44.17
13:44:17.683 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
